Resultado da Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissão:30/10/2025 20:08:40,Total de registros:492,Usuário: 0 - SUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_TYPE_MOD,DATA_TYPE_OWNER,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,COLUMN_ID,DEFAULT_LENGTH,DATA_DEFAULT,NUM_DISTINCT,LOW_VALUE,HIGH_VALUE,DENSITY,NUM_NULLS,NUM_BUCKETS,LAST_ANALYZED,SAMPLE_SIZE,CHARACTER_SET_NAME,CHAR_COL_DECL_LENGTH,GLOBAL_STATS,USER_STATS,AVG_COL_LEN,CHAR_LENGTH,CHAR_USED,V80_FMT_IMAGE,DATA_UPGRADED,HISTOGRAM,DEFAULT_ON_NULL,IDENTITY_COLUMN,EVALUATION_EDITION,UNUSABLE_BEFORE,UNUSABLE_BEGINNING,COLLATION
SATISTST,TGFCAB,VLRVENDOR,FLOAT,,,"22,00","126,00",,N,33,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLROUTROS,FLOAT,,,"22,00","126,00",,N,34,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLREMB,FLOAT,,,"22,00","126,00",,N,35,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLRICMSEMB,FLOAT,,,"22,00","126,00",,N,36,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLRDESCSERV,FLOAT,,,"22,00","126,00",,N,37,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,IPIEMB,FLOAT,,,"22,00","126,00",,N,38,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,TIPIPIEMB,VARCHAR2,,,"1,00",,,N,39,"4,00",'N',"1,00",4E,4E,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,VLRDESCTOT,FLOAT,,,"22,00","126,00",,N,40,"2,00",0,"27,00",80,C2152C,"0,00","0,00","27,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLRDESCTOTITEM,FLOAT,,,"22,00","126,00",,N,41,"2,00",0,"5.346,00",80,C402591F304815,"0,00","0,00","254,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFCAB,VLRFRETE,FLOAT,,,"22,00","126,00",,N,42,"2,00",0,"590,00",3C63501B4E66,C303390242,"0,00","0,00","1,00",30/10/2025 05:17,"11.078,00",,,YES,NO,"3,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,ICMSFRETE,FLOAT,,,"22,00","126,00",,N,43,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,BASEICMSFRETE,FLOAT,,,"22,00","126,00",,N,44,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,TIPFRETE,VARCHAR2,,,"1,00",,,N,45,"4,00",'S',"2,00",4E,53,"0,00","0,00","2,00",30/10/2025 05:17,"10.809,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,CIF_FOB,VARCHAR2,,,"1,00",,,Y,46,,,"6,00",43,54,"0,00","33.670,00","6,00",30/10/2025 05:17,"7.442,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,VENCFRETE,DATE,,,"7,00",,,Y,47,,,"503,00",78780210010101,787D061A010101,"0,00","104.880,00","1,00",30/10/2025 05:17,"590,00",,,YES,NO,"2,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,VLRNOTA,FLOAT,,,"22,00","126,00",,N,48,"2,00",0,"12.885,00",80,C40A03130109,"0,00","0,00","254,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"5,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFCAB,VENCIPI,DATE,,,"7,00",,,Y,49,,,"0,00",,,"0,00","110.780,00","0,00",30/10/2025 05:17,,,,YES,NO,"1,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,ORDEMCARGA,NUMBER,,,"22,00","10,00","0,00",Y,50,,,"3.420,00",80,C23903,"0,00","70.010,00","254,00",30/10/2025 05:17,"3.808,00",,,YES,NO,"2,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFCAB,SEQCARGA,NUMBER,,,"22,00","5,00","0,00",Y,51,,,"11,00",C102,C10C,"0,09","89.130,00","1,00",30/10/2025 05:17,"2.165,00",,,YES,NO,"2,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,KMVEICULO,NUMBER,,,"22,00","10,00","0,00",Y,52,,,"0,00",,,"0,00","110.780,00","0,00",30/10/2025 05:17,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,CODPARCTRANSP,NUMBER,,,"22,00","10,00","0,00",N,53,"2,00",0,"111,00",80,C23A39,"0,00","0,00","111,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,QTDVOL,NUMBER,,,"22,00","10,00","0,00",N,54,"2,00",0,"955,00",80,C3123B1F,"0,00","0,00","254,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"4,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFCAB,PENDENTE,VARCHAR2,,,"1,00",,,N,55,"4,00",'S',"2,00",4E,53,"0,00","0,00","2,00",30/10/2025 05:17,"10.809,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,BASEICMS,FLOAT,,,"22,00","126,00",,N,56,"2,00",0,"10.575,00",80,C40903420C2A,"0,00","0,00","254,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"4,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFCAB,VLRICMS,FLOAT,,,"22,00","126,00",,N,57,"2,00",0,"10.539,00",80,C4022D304907,"0,00","0,00","254,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"4,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFCAB,BASEIPI,FLOAT,,,"22,00","126,00",,N,58,"2,00",0,"214,00",80,C30704,"0,00","0,00","213,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLRIPI,FLOAT,,,"22,00","126,00",,N,59,"2,00",0,"3,00",80,C1510F,"0,00","0,00","3,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,ISSRETIDO,VARCHAR2,,,"1,00",,,N,60,"4,00",'S',"2,00",4E,53,"0,00","0,00","2,00",30/10/2025 05:17,"10.809,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,BASEISS,FLOAT,,,"22,00","126,00",,N,61,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLRISS,FLOAT,,,"22,00","126,00",,N,62,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,APROVADO,VARCHAR2,,,"1,00",,,N,63,"4,00",'S',"2,00",4E,53,"0,00","0,00","2,00",30/10/2025 05:17,"10.809,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,STATUSNOTA,VARCHAR2,,,"1,00",,,N,64,"4,00",'P',"3,00",41,50,"0,00","0,00","3,00",30/10/2025 05:17,"10.809,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,CODUSU,NUMBER,,,"22,00","5,00","0,00",Y,65,,,"50,00",80,C20214,"0,00","10,00","50,00",30/10/2025 05:17,"10.808,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,IRFRETIDO,VARCHAR2,,,"1,00",,,N,66,"4,00",'N',"2,00",4E,53,"0,00","0,00","2,00",30/10/2025 05:17,"10.809,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,COMGER,FLOAT,,,"22,00","126,00",,Y,67,,,"0,00",,,"0,00","110.780,00","0,00",30/10/2025 05:17,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,VLRIRF,FLOAT,,,"22,00","126,00",,N,68,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,DTALTER,DATE,,,"7,00",,,N,69,,,"107.560,00",787A040111373C,787D0A160F3527,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"8,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,VOLUME,VARCHAR2,,,"60,00",,,Y,70,,,"97,00",2233,766F6C756D6573,"0,01","94.530,00","1,00",30/10/2025 05:17,"1.625,00",CHAR_CS,60,YES,NO,"2,00","60,00",B,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,CODPARCDEST,NUMBER,,,"22,00","10,00","0,00",N,71,"2,00",0,"163,00",80,C23715,"0,00","0,00","162,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLRSUBST,FLOAT,,,"22,00","126,00",,N,72,"2,00",0,"5,00",80,C2080E27,"0,00","0,00","5,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,BASESUBSTIT,FLOAT,,,"22,00","126,00",,N,73,"2,00",0,"5,00",80,C302053F63,"0,00","0,00","5,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,CODPROJ,NUMBER,,,"22,00","10,00","0,00",N,74,"2,00",0,"86,00",80,C5020B0B,"0,00","0,00","86,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"5,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,NUMCONTRATO,NUMBER,,,"22,00","10,00","0,00",N,75,"2,00",0,"302,00",80,C20438,"0,00","0,00","254,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFCAB,BASEINSS,FLOAT,,,"22,00","126,00",,N,76,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLRINSS,FLOAT,,,"22,00","126,00",,N,77,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,VLRREPREDTOT,FLOAT,,,"22,00","126,00",,N,78,"2,00",0,"696,00",80,C3091C2336,"0,00","0,00","1,00",30/10/2025 05:17,"11.078,00",,,YES,NO,"3,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFCAB,PERCDESC,FLOAT,,,"22,00","126,00",,N,79,"2,00",0,"23,00",80,C12514,"0,00","0,00","23,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,CODPARCREMETENTE,NUMBER,,,"22,00","10,00","0,00",N,80,"2,00",0,"68,00",80,C23609,"0,00","0,00","68,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,CODPARCCONSIGNATARIO,NUMBER,,,"22,00","10,00","0,00",N,81,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,CODPARCREDESPACHO,NUMBER,,,"22,00","10,00","0,00",N,82,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:17,"10.809,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFCAB,LOCALCOLETA,VARCHAR2,,,"40,00",,,Y,83,,,"0,00",,,"0,00","110.780,00","0,00",30/10/2025 05:17,,CHAR_CS,40,YES,NO,"0,00","40,00",B,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,LOCALENTREGA,VARCHAR2,,,"40,00",,,Y,84,,,"0,00",,,"0,00","110.780,00","0,00",30/10/2025 05:17,,CHAR_CS,40,YES,NO,"0,00","40,00",B,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFCAB,VLRMERCADORIA,FLOAT,,,"22,00","126,00",,Y,85,,,"0,00",,,"0,00","110.780,00","0,00",30/10/2025 05:17,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
