Resultado da Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissão:30/10/2025 20:09:44,Total de registros:227,Usuário: 0 - SUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_TYPE_MOD,DATA_TYPE_OWNER,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,COLUMN_ID,DEFAULT_LENGTH,DATA_DEFAULT,NUM_DISTINCT,LOW_VALUE,HIGH_VALUE,DENSITY,NUM_NULLS,NUM_BUCKETS,LAST_ANALYZED,SAMPLE_SIZE,CHARACTER_SET_NAME,CHAR_COL_DECL_LENGTH,GLOBAL_STATS,USER_STATS,AVG_COL_LEN,CHAR_LENGTH,CHAR_USED,V80_FMT_IMAGE,DATA_UPGRADED,HISTOGRAM,DEFAULT_ON_NULL,IDENTITY_COLUMN,EVALUATION_EDITION,UNUSABLE_BEFORE,UNUSABLE_BEGINNING,COLLATION
SATISTST,TGFITE,PERCCOM,FLOAT,,,"22,00","126,00",,Y,65,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,VLRCOM,FLOAT,,,"22,00","126,00",,Y,66,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,ALTPRECO,VARCHAR2,,,"1,00",,,Y,67,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,CHAR_CS,1,YES,NO,"0,00","1,00",B,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,QTDFIXADA,FLOAT,,,"22,00","126,00",,Y,68,,,"1,00",80,80,"0,00","111.880,00","1,00",30/10/2025 05:24,"20.038,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,PERCCOMGER,FLOAT,,,"22,00","126,00",,Y,69,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,VLRCOMGER,FLOAT,,,"22,00","126,00",,Y,70,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,QTDWMS,FLOAT,,,"22,00","126,00",,Y,71,,,"1,00",80,80,"0,00","37.800,00","1,00",30/10/2025 05:24,"27.446,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,BASICMMOD,NUMBER,,,"22,00","10,00","0,00",Y,72,,,"1,00",C104,C104,"0,00","168.020,00","1,00",30/10/2025 05:24,"14.424,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,BASICMSTMOD,NUMBER,,,"22,00","10,00","0,00",Y,73,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,QTDFAT,FLOAT,,,"22,00","126,00",,Y,74,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
