====================================================================================================
                             LISTAGEM DE PRODUTOS - CONTROLE DE ESTOQUE                             
                              Fonte: ESTOQUE DE PAPEIS-29-7-26(1).xlsx                              
                                    Gerado em: 31/07/2026 15:58                                     
====================================================================================================

----------------------------------------------------------------------------------------------------
CATEGORIA: FOSCO
----------------------------------------------------------------------------------------------------
DESCRIÇÃO                               GRAM.   FORNECEDOR     LARG(mm)  COMP(m)  SALDO(rolos)
TÉRMICO COLACRIL                        20G     COLACRIL            180     1000             1
TÉRMICO COLACRIL                        20G     COLACRIL            188      500             1
TÉRMICO COLACRIL                        20G     COLACRIL            220     1000             0
TÉRMICO COLACRIL                        20G     COLACRIL            250     1000             0
TÉRMICO FASSON                          20G     COLACRIL             60     1000             4
TÉRMICO FASSON                          20G     COLACRIL             70     1000             1
TÉRMICO FASSON                          20G     COLACRIL             77     1000             5
TÉRMICO FASSON                          20G     COLACRIL             86     1000             2
TÉRMICO FASSON                          20G     COLACRIL             95     1000             0
TÉRMICO FASSON                          20G     COLACRIL            105      600             0
TÉRMICO FASSON                          20G     COLACRIL            110     1000             3
TÉRMICO FASSON                          20G     COLACRIL            120     1000             2
TÉRMICO FASSON                          20G     COLACRIL            190     1000             1
TÉRMICO FASSON                          20G     COLACRIL            220      500             0
TÉRMICO FASSON                          20G     COLACRIL            220     1000             0
TÉRMICO FASSON                          20G     COLACRIL            250     1000             0
TÉRMICO FASSON                          20G     FASSON               60     1000            18
TÉRMICO FASSON                          20G     FASSON               65      600             1
TÉRMICO FASSON                          20G     FASSON               70     1000             1
TÉRMICO FASSON                          20G     FASSON               77      500             2
TÉRMICO FASSON                          20G     FASSON               77     1000             6
TÉRMICO FASSON                          20G     FASSON               80     1000             2
TÉRMICO FASSON                          20G     FASSON              100      500             0
TÉRMICO FASSON                          20G     FASSON              100     1000             1
TÉRMICO FASSON                          20G     FASSON              105     1000             1
TÉRMICO FASSON                          20G     FASSON              190     1000             2
TÉRMICO FASSON                          20G     FASSON              210     1000            23
TÉRMICO FASSON                          20G     FASSON              220     1000             9
TÉRMICO FASSON                          20G     FASSON              240     1000             1
TÉRMICO FASSON                          20G     FASSON              250     1000             0
                                                                          TOTAL:            87
Itens distintos: 30

----------------------------------------------------------------------------------------------------
CATEGORIA: BOPP
----------------------------------------------------------------------------------------------------
DESCRIÇÃO                               GRAM.   FORNECEDOR     LARG(mm)  COMP(m)  SALDO(rolos)
--------------------------------------  ------  ------------   -------- -------- -------------
